Column1,SDURAKKODU,SDURAKADI,lon,lat,ILCEADI,SYON,AKILLI,FIZIKI,DURAK_TIPI,ENGELLIKULLANIM,28.99386488,41.03851705
7524,203171,KERVANSARAY,29.45321305,41.07196801,Sile,SILE,YOK,AÇIK,AÇIK DURAK,Uygun Degil,29.0550410054702 41.165252996681),
7525,203172,KERVANSARAY,29.453225,41.072076,Sile,ÜVEZLI,YOK,KAPALI,İETTCAMLI,Uygun Degil,29.0550460000113 40.9050779991189),
7526,203181,ARTVİNLER,29.460695,41.070331,Sile,SILE,YOK,AÇIK,İETTBAYRAK,Uygun Degil,29.0550739733144 41.1653870059739),
7527,203182,ARTVİNLER,29.461183,41.0702,Sile,ÜVEZLI,YOK,KAPALI,İETTCAMLI,Uygun Degil,29.0550930056991 41.1012339719227),
7528,203191,BIÇKIDERE,29.47592102,41.06985601,Sile,SILE,YOK,AÇIK,AÇIK DURAK,Uygun Degil,29.0551109765784 41.169392988216),
7529,203192,BIÇKIDERE,29.476023,41.069863,Sile,ÜVEZLI,YOK,KAPALI,İETTCAMLI,Uygun Degil,29.0551460344117 41.1696279715166),
7530,203201,ORUÇOĞLU,29.490736,41.062956,Sile,SILE,YOK,AÇIK,İETTBAYRAK,Uygun Degil,29.0551479999908 40.9740980005497),
7531,203202,ORUÇOĞLU,29.48982999,41.06340402,Sile,ÜVEZLI,YOK,KAPALI,İETTCAMLI,Uygun Degil,29.0551939646121 41.1117760450978),
7532,203211,ULUPELİT,29.51563099,41.08710901,Sile,SILE,YOK,AÇIK,AÇIK DURAK,Uygun Degil,29.0552379067559 40.9093021344779),
7533,203212,ULUPELİT,29.515499,41.087104,Sile,ÜVEZLI,YOK,AÇIK,İETTBAYRAK,Uygun Degil,29.0552780065555 41.0920239747487),
7534,203221,KALE ALTI,29.505114,41.121804,Sile,SILE,YOK,AÇIK,İETTBAYRAK,Uygun Degil,29.0553499999907 41.0143890005561),
7535,203222,KALE ALTI,29.505386,41.121879,Sile,ÜVEZLI,YOK,KAPALI,İETTCAMLI,Uygun Degil,29.0553640386538 41.1131070046259),
7536,203231,KORUCU,29.564268,41.119961,Sile,SILE,YOK,KAPALI,İETTCAMLI,Uygun Degil,29.0553819982575 41.1227190421656),
7537,203232,KORUCU,29.56414002,41.11987997,Sile,ÜVEZLI,YOK,AÇIK,AÇIK DURAK,Uygun Degil,29.0554499999906 41.03876100056),
7538,203241,SATMAZLI,29.565192,41.12512,Sile,SILE,YOK,KAPALI,İETTCAMLI,Uygun Degil,29.0554540005469 41.2369843659711),
7539,203242,SATMAZLI,29.56500295,41.12482799,Sile,ÜVEZLI,YOK,AÇIK,AÇIK DURAK,Uygun Degil,29.0554829999906 41.0638900005641),
7540,203251,ŞİLE SANAYİ,29.633396,41.157303,Sile,SILE,YOK,KAPALI,İETTCAMLI,Uygun Degil,29.0555250311 41.0311619718327),
