HAT_KODU,HAT_ADI,TAM_HAT_ADI,HAT_DURUMU,BOLGE,SEFER_SURESI
H-3,HALKALI MARMARAY - İSTANBUL HAVALİMANI,H-3/HALKALI MARMARAY - İSTANBUL HAVALİMANI,1,Avrupa1,218.15
H-6,YUNUS EMRE MAHALLESİ-İSTANBUL HAVALİMANI,H-6/YUNUS EMRE MAHALLESİ-İSTANBUL HAVALİMANI,1,Avrupa2,185.06
H-8,HACIOSMAN METRO-İSTANBUL HAVALİMANI,H-8/HACIOSMAN METRO-İSTANBUL HAVALİMANI,1,Avrupa3,262
H-9,CEVİZLİBAĞ - İSTANBUL HAVALİMANI,H-9/CEVİZLİBAĞ - İSTANBUL HAVALİMANI,1,Avrupa2,246.11
HA-1,ÇARŞI-AKÇAKOCA-İTFAİYE,HA-1/ÇARŞI-AKÇAKOCA-İTFAİYE,1,Anadolu1,10.06
HA-2,ÇARŞI-ÇAM LİMANI,HA-2/ÇARŞI-ÇAM LİMANI,1,Anadolu1,14.29
HM1,HACIOSMAN METRO - KOCATAŞ,HM1/HACIOSMAN METRO - KOCATAŞ,1,Avrupa3,38.37
HM2,KONAKLAR MAHALLESİ - 4.LEVENT METRO,HM2/KONAKLAR MAHALLESİ - 4.LEVENT METRO,1,Avrupa3,11.12
HM3,HÜRRİYET MAHALLESİ - ŞİŞLİ,HM3/HÜRRİYET MAHALLESİ - ŞİŞLİ,1,Avrupa3,13.02
HM4,LEVENT BASIN SİTESİ - ŞİŞLİ,HM4/LEVENT BASIN SİTESİ - ŞİŞLİ,1,Avrupa3,28.87
HS1,YENİBOSNA METRO - ŞEHİR HASTANESİ,HS1/YENİBOSNA METRO - ŞEHİR HASTANESİ,1,Avrupa1,95.74
HS2, AVCILAR METROBÜS - ŞEHİR HASTANESİ,HS2/AVCILAR METROBÜS - ŞEHİR HASTANESİ,1,Avrupa1,130.68
HT1,K.S.S. HASTANESİ - ÜÇYÜZLÜ METRO,HT1/K.S.S. HASTANESİ - ÜÇYÜZLÜ METRO,1,Avrupa1,101.65
HT10,BATIŞEHİR - YENİBOSNA METRO,HT10/BATIŞEHİR - YENİBOSNA METRO,1,Avrupa1,68.98
HT11,GİYİMKENT - KUYUMCUKENT,HT11/GİYİMKENT - KUYUMCUKENT,1,Avrupa2,93.97
HT12,GÜNEŞLİ BASIN TESİSLERİ - YENİBOSNA METRO,HT12/GÜNEŞLİ BASIN TESİSLERİ - YENİBOSNA METRO,1,Avrupa1,44.66
HT13,YENİ MAHALLE METRO - ZEYTİNBURNU,HT13/YENİ MAHALLE METRO - ZEYTİNBURNU,1,Avrupa1,54.74
HT18,HADIMKÖY/İ.Ü. CERRAHPAŞA KAMPÜSÜ - TÜYAP,HT18/HADIMKÖY/İ.Ü. CERRAHPAŞA KAMPÜSÜ - TÜYAP,1,Avrupa1,132.16
HT19,İ.Ü.CERRAHPAŞA KAMPÜSÜ - TÜYAP METROBÜS,HT19/İ.Ü.CERRAHPAŞA KAMPÜSÜ - TÜYAP METROBÜS,1,Avrupa1,52.97
HT20,ŞAHİNTEPE - YENİBOSNA METRO,HT20/ŞAHİNTEPE - YENİBOSNA METRO,1,Avrupa1,98.11
HT29,KIRAÇ - AVCILAR METROBÜS,HT29/KIRAÇ - AVCILAR METROBÜS,1,Avrupa1,79.7
HT48,TEPECİK KİPTAŞ KONUTLARI - AVCILAR METROBÜS,HT48/TEPECİK KİPTAŞ KONUTLARI - AVCILAR METROBÜS,1,Avrupa1,138.1
HT5,KOCATEPE METRO-NUR SİTESİ,HT5/KOCATEPE METRO-NUR SİTESİ,1,Avrupa2,57.08
HT6,BATIŞEHİR-KOCATEPE METRO,HT6/BATIŞEHİR-KOCATEPE METRO,1,Avrupa2,47.52
