HAT_KODU,HAT_ADI,TAM_HAT_ADI,HAT_DURUMU,BOLGE,SEFER_SURESI
132B,AKFIRAT EVLERİ - KARTAL METRO,132B/AKFIRAT EVLERİ - KARTAL METRO,1,Anadolu2,165.16
132C,SULTANBEYLİ GÖLET - KARTAL,132C/SULTANBEYLİ GÖLET - KARTAL,1,Anadolu2,113.71
132ÇK,ÇEKMEKÖY - KARTAL ,132ÇK/ÇEKMEKÖY - KARTAL,1,Anadolu2,163.63
132D,KURTDOĞMUŞ / BALLICA - KARTAL,132D/KURTDOĞMUŞ / BALLICA - KARTAL,1,Anadolu2,187.89
132E,EMİRLİ / KURNAKÖY - KARTAL,132E/EMİRLİ / KURNAKÖY - KARTAL,1,Anadolu2,139.8
132F,ESENLER - TAVŞANTEPE METRO/ KARTAL,132F/ESENLER - TAVŞANTEPE METRO/ KARTAL,1,Anadolu2,82.21
132G,GÖZDAĞI - PENDİK YHT/PENDİK,132G/GÖZDAĞI - PENDİK YHT/PENDİK,1,Anadolu2,43.56
132H,PENDİK/PENDİK YHT - SABİHA GÖKÇEN HAVALİMANI,132H/PENDİK/PENDİK YHT - SABİHA GÖKÇEN HAVALİMANI,1,Anadolu2,83.6
132K,YENİŞEHİR - KARTAL,132K/YENİŞEHİR - KARTAL,1,Anadolu2,132.03
132M,SULTANBEYLİ MİMARSİNAN - KARTAL METRO / CEVİZLİ,132M/SULTANBEYLİ MİMARSİNAN - KARTAL METRO / CEVİZLİ,1,Anadolu2,137.8
132N,NİŞANTEPE / BÜYÜKBAKKALKÖY - KARTAL,132N/NİŞANTEPE / BÜYÜKBAKKALKÖY - KARTAL,1,Anadolu2,136.76
132P,VEYSEL KARANİ / SULTANBEYLİ - KARTAL,132P/VEYSEL KARANİ / SULTANBEYLİ - KARTAL,1,Anadolu2,150.86
132S,YENİDOĞAN - KARTAL ,132S/YENİDOĞAN - KARTAL,1,Anadolu2,118.58
132SB,SULTANBEYLİ DEVLET HAST.- MARMARA ÜNİV. BAŞIBÜYÜK KAMPÜSÜ,132SB/SULTANBEYLİ DEVLET HAST.- MARMARA ÜNİV. BAŞIBÜYÜK KAMPÜSÜ,1,Anadolu2,135.32
132T,TEPEÖREN - KARTAL METRO,132T/TEPEÖREN - KARTAL METRO,1,Anadolu2,106.95
132V,YENİDOĞAN / SULTANBEYLİ DEVLET HAST. - PENDİK YHT,132V/YENİDOĞAN / SULTANBEYLİ DEVLET HAST. - PENDİK YHT,1,Anadolu2,161.83
132Y,HİLAL KONUTLARI / YAYALAR - KARTAL METRO,132Y/HİLAL KONUTLARI / YAYALAR - KARTAL METRO,1,Anadolu2,74.53
132YB,YENİDOĞAN - MARMARA ÜNİVERSİTESİ BAŞIBÜYÜK KAMPÜSÜ,132YB/YENİDOĞAN - MARMARA ÜNİVERSİTESİ BAŞIBÜYÜK KAMPÜSÜ,1,Anadolu2,118.67
